#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   You gasp and say 'ACK!' at your mistake.~
OthersNoArg $n ACKS at $s big mistake.~
CharFound   You ACK $M.~
OthersFound $n ACKS $N.~
VictFound   $n ACKS you.~
CharAuto    You ACK yourself.~
OthersAuto  $n ACKS $mself.  Must be a bad day.~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You tell $M that you are addicted to $S love.~
OthersFound $n tells $N that $e is addicted to $S love.~
VictFound   $n tells you that $e is addicted to your love.~
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        agree~
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  You MUST'VE done something good!~
CharAuto    You applaud at yourself.  Boy, are we conceited!~
OthersAuto  $n applauds at $mself.  Boy, are we conceited!~
End

#SOCIAL
Name        babble~
CharNoArg   You babble happily to yourself.~
OthersNoArg $n babbles to themself, think they forgot their drugs today?~
CharFound   Babbling incessantly, you make $M furious.~
OthersFound $n drives $N to drink with their babbling.~
VictFound   $n 's words begin to become nonsense as they babble on.~
CharAuto    You babble to the voices in your head.~
OthersAuto  $n babbles on endlessly.~
End

#SOCIAL
Name        bark~
CharNoArg   Woof!  Woof!~
OthersNoArg $n barks like a dog.~
CharFound   You bark at $M.~
OthersFound $n barks at $N.~
VictFound   $n barks at you.~
CharAuto    You bark at yourself.  Woof!  Woof!~
OthersAuto  $n barks at $mself.  Woof!  Woof!~
End

#SOCIAL
Name        bbl~
CharNoArg   You announce that you will be back later.~
OthersNoArg $n announces that $e'll be back later.~
CharFound   You inform $M that you will be back later.~
OthersFound $n informs $N that $e will be back later~
VictFound   $n informs you that $e will be back later~
CharAuto    You mumble to yourself that you'll be back later.~
OthersAuto  $n mumbles to $mself that $e'll be back later.~
End

#SOCIAL
Name        bearhug~
CharNoArg   You hug a grizzly bear.~
OthersNoArg $n hugs a flea-infested grizzly bear.~
CharFound   You bearhug $M.~
OthersFound $n bearhugs $N.  Some ribs break.~
VictFound   $n bearhugs you.  Wonder what's coming next?~
CharAuto    You bearhug yourself.~
OthersAuto  $n bearhugs $mself.~
End

#SOCIAL
Name        beg~
CharNoArg   You beg the gods for mercy.~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You desperately try to squeeze a few coins from $M.~
OthersFound $n begs $N for a gold piece!~
VictFound   $n begs you for money.~
CharAuto    Begging yourself for money doesn't help.~
OthersAuto  $n begs himself for money.~
End

#SOCIAL
Name        behead~
CharNoArg   You look around for some heads to cut off.~
OthersNoArg $n looks around for some heads to cut off.~
CharFound   You grin evilly at $N and brandish your weapon.~
OthersFound $n grins evilly at $N, while branding $s weapon!~
VictFound   $n grins evilly at you, brandishing $s weapon.~
CharAuto    I really don't think you want to do that...~
OthersAuto  $n is so desperate for exp that $e tries to decapitate $mself!~
End

#SOCIAL
Name        bite~
CharNoArg   You bite at thin air, looking quite silly.~
OthersNoArg $n bites at thin air.  Could it be contagious?~
CharFound   You bite $M on the neck, making $M shiver in pleasure~
OthersFound You see $n bite $N on the neck, perhaps you should find a cross and stake?~
VictFound   $n bites you on the neck, sending shivers through your body.~
CharAuto    You cant do that!~
OthersAuto  You try and bite yourself on the neck and find your teeth hung in your hair.~
End

#SOCIAL
Name        bkiss~
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N.  Touching, ain't it?~
VictFound   $n blows a kiss to you.  Not as good as a real one, huh?~
CharAuto    You blow a kiss to yourself.~
OthersAuto  $n blows a kiss to $mself.  Weird.~
End

#SOCIAL
Name        bleed~
CharNoArg   You bleed all over the room!~
OthersNoArg $n bleeds all over the room!  Get out of $s way!~
CharFound   You bleed all over $M!~
OthersFound $n bleeds all over $N.  Better leave, you may be next!~
VictFound   $n bleeds all over you!  YUCK!~
CharAuto    You bleed all over yourself!~
OthersAuto  $n bleeds all over $mself.~
End

#SOCIAL
Name        blink~
CharNoArg   You blink.  Did you really hear that?~
OthersNoArg $n blinks, completely surprised.~
CharFound   You blink at $M in confusion.~
OthersFound $n blinks at $N in confusion.~
VictFound   $n blinks at you in confusion.~
CharAuto    You are sooooooooooooo confused~
OthersAuto  $n blinks at $mself in complete confusion.~
End

#SOCIAL
Name        blonde~
CharNoArg   You bounce your head back and forth, saying 'Ohmigawd!'~
OthersNoArg $n looks at you, $s eyes vacant.  There is no one at home.~
CharFound   You suddenly are struck dumb and look at $M like $E is god.~
OthersFound $n looks at $N as if $e suddenly has the IQ of a beauty pagent contestant.~
VictFound   $n says 'Ohmigawd, like I'm totally confused.  What did you ask again?' to you, as if $e has just peroxided $m hair.~
CharAuto    You no longer have an IQ~
OthersAuto  $n acts like a blonde.~
End

#SOCIAL
Name        blush~
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
CharFound   You get all flustered up seeing $M.~
OthersFound $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.  Such an effect on people!~
CharAuto    You blush at your own folly.~
OthersAuto  $n blushes as $e notices $s boo-boo.~
End

#SOCIAL
Name        boggle~
CharNoArg   You boggle in complete incomprehension.~
OthersNoArg $n boggles in complete incomprehension.~
CharFound   You boggle in complete incomprehension of $S actions.~
OthersFound $n boggles in complete incomprehension of $N's actions.~
VictFound   $n boggles in complete incomprehension of your actions.~
